Código,Qtd,Preço Médio,Total Investido,Preço Atual,Total,Variação (%),Status
BBDC3,20.0,13.54,270.8,17.7,354.0,30.72,Valorizou
BRAP3,16.0,15.34,245.49,20.31,324.96,32.4,Valorizou
CMIG4,30.0,10.72,321.6,11.81,354.3,10.17,Valorizou
GRND3,68.0,4.96,337.52,4.96,337.28,0.0,Valorizou
ISAE4,10.0,23.3,233.0,28.44,284.4,22.06,Valorizou
ITSA4,20.0,10.95,219.0,13.87,277.4,26.67,Valorizou
JHSF3,30.0,5.45,163.5,9.45,283.5,73.39,Valorizou
LIGT3,52.0,5.33,276.94,4.81,250.12,-9.76,Desvalorizou
SAPR4,60.0,6.81,408.4,8.17,490.2,19.97,Valorizou
OIAG11,25.0,7.63,190.85,9.39,234.75,23.07,Valorizou
TRBL11,3.0,67.07,201.22,78.23,234.69,16.64,Valorizou
XPIN11,3.0,71.34,214.02,71.97,215.91,0.88,Valorizou
GARE11,20.0,8.75,174.95,8.51,170.2,-2.74,Desvalorizou
XPCA11,22.0,7.63,167.92,8.75,192.5,14.68,Valorizou
VGIA11,30.0,8.88,266.4,9.99,299.7,12.5,Valorizou
BRCR11,4.0,45.96,183.84,48.2,192.8,4.87,Valorizou
RURA11,20.0,8.33,166.7,9.08,181.6,9.0,Valorizou
LLY,0.02,4656.69,81.97,5249.88,105.0,12.74,Valorizou
IVV,0.03,3507.26,106.74,3600.53,108.02,2.66,Valorizou
JEPQ,0.33327,295.1,98.35,302.26,100.73,2.43,Valorizou
VICI,0.7,169.46,119.05,156.36,109.45,-7.73,Desvalorizou
BBAS3,10.0,21.03,210.3,25.94,259.4,23.35,Valorizou
CMIN3,48.0,5.26,252.56,5.35,256.8,1.71,Valorizou
REGN,0.0286309,2793.65,79.98,4119.57,117.95,47.46,Valorizou
NVO,0.25,309.37,78.87,201.4,50.35,-34.9,Desvalorizou
NOC,0.02165594,3611.69,78.21,3943.49,85.4,9.19,Valorizou
JNJ,0.06586168,1187.51,78.21,1283.21,84.51,8.06,Valorizou
AAXJ,0.18633478,527.46,98.28,526.36,98.08,-0.21,Desvalorizou
SOXX,0.0480946,1848.9,88.92,1786.66,85.93,-3.37,Desvalorizou
EWJV,0.35352345,221.94,78.46,229.96,81.3,3.62,Valorizou
DXJ,0.09873617,794.65,78.46,849.39,83.87,6.89,Valorizou
ASML,0.01059516,7405.31,78.46,7320.38,77.56,-1.15,Desvalorizou
